particle,,dframe,dx,dy,step_len
160,3,1,-0.39813995,-0.21889496,0.45434615
160,4,1,0.2635994,0.025943756,0.26487303
161,0,1,0.37265778,1.9180965,1.9539622
161,1,1,0.4172573,1.0025005,1.0858687
163,0,1,-0.12045288,-0.11647034,0.16755368
163,1,1,0.094903946,-0.27701187,0.29281792
163,2,1,-0.4378338,0.09720993,0.44849548
165,0,1,0.1211586,0.31650162,0.33889922
165,1,1,-0.061943054,-0.07789612,0.0995226
165,2,1,0.1312561,0.15837097,0.2056928
165,3,1,0.05737877,0.010959625,0.058416065
165,4,1,-0.03689766,0.01738739,0.040789198
165,5,1,-0.18929672,0.074272156,0.20334603
165,6,1,0.110235214,0.13214874,0.17209037
165,7,1,0.20988846,-0.19039154,0.28337625
165,8,1,-0.1568737,0.38822556,0.4187224
165,9,1,0.03986168,0.0045204163,0.040117174
165,10,1,-0.07475281,-0.076934814,0.10727044
165,11,1,0.34988022,-0.0005645752,0.34988067
165,12,1,-0.015115738,0.5988121,0.59900284
165,13,1,-0.006181717,-0.7889519,0.7889761
165,14,1,-0.26980972,0.14139557,0.30461448
172,0,1,0.34528923,-0.68419266,0.7663839
172,1,1,-0.2548313,0.33470917,0.4206771
172,2,1,0.12225723,-0.27527428,0.3012022
172,3,1,-0.16075897,0.13482666,0.20981343
174,0,1,-0.033960342,-0.9998894,1.000466
174,1,1,0.3318882,0.42643356,0.540366
174,2,1,0.14720535,0.42552567,0.45026827
174,3,1,0.065338135,-0.28394318,0.2913637
174,4,1,-0.30499268,0.52638626,0.60836095
174,5,1,-0.40760422,-0.099990845,0.41968963
174,6,1,0.5698147,-0.18715286,0.59976244
174,7,1,-0.13780212,0.0799942,0.15933768
174,8,1,0.023208618,-0.34074783,0.3415373
174,9,1,0.013050079,0.02420044,0.027494833
174,10,1,0.040208817,-0.52353287,0.52507466
174,11,1,-0.12655258,0.56996536,0.5838459
174,12,1,-0.42035103,0.20972061,0.4697635
174,13,1,0.32291794,-0.20638275,0.38323602
